model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBMXT,0.970873786407767,accuracy,0.0005991458892822266,0.18845272064208984,0.0005991458892822266,0.18845272064208984,1,True,3
CatBoost,0.970873786407767,accuracy,0.0006647109985351562,0.22198748588562012,0.0006647109985351562,0.22198748588562012,1,True,7
LightGBMLarge,0.970873786407767,accuracy,0.0007293224334716797,0.2719900608062744,0.0007293224334716797,0.2719900608062744,1,True,13
LightGBM,0.970873786407767,accuracy,0.0008523464202880859,0.23914074897766113,0.0008523464202880859,0.23914074897766113,1,True,4
XGBoost,0.970873786407767,accuracy,0.002204418182373047,0.0945889949798584,0.002204418182373047,0.0945889949798584,1,True,11
NeuralNetTorch,0.970873786407767,accuracy,0.007527828216552734,0.9886519908905029,0.007527828216552734,0.9886519908905029,1,True,12
NeuralNetFastAI,0.970873786407767,accuracy,0.008187055587768555,0.33934807777404785,0.008187055587768555,0.33934807777404785,1,True,10
ExtraTreesEntr,0.970873786407767,accuracy,0.050445556640625,0.6212258338928223,0.050445556640625,0.6212258338928223,1,True,9
ExtraTreesGini,0.970873786407767,accuracy,0.054082393646240234,0.6199369430541992,0.054082393646240234,0.6199369430541992,1,True,8
RandomForestEntr,0.970873786407767,accuracy,0.05419278144836426,0.6324582099914551,0.05419278144836426,0.6324582099914551,1,True,6
RandomForestGini,0.970873786407767,accuracy,0.05436396598815918,0.6958773136138916,0.05436396598815918,0.6958773136138916,1,True,5
WeightedEnsemble_L2,0.970873786407767,accuracy,0.05463004112243652,0.7388796806335449,0.0005476474761962891,0.1189427375793457,2,True,14
KNeighborsDist,0.9611650485436893,accuracy,0.016572237014770508,0.005055427551269531,0.016572237014770508,0.005055427551269531,1,True,2
KNeighborsUnif,0.9611650485436893,accuracy,0.01672220230102539,0.005095243453979492,0.01672220230102539,0.005095243453979492,1,True,1
